Topic,Count,Name,Representation,Representative_Docs
-1,678,-1_博物馆_瀑布_有点_舒服,"['博物馆', '瀑布', '有点', '舒服', '排队', '客房', '免费', '花园酒店', '办理', '套房']","['国庆去旅行 房间设施:60+平方，一房一厅一卫，麻雀虽小五脏俱全，两个1.35的床，三口之家也住得很舒服。起居动线合理，有咖啡机。 性价比:国庆期间，5k不到3晚的价格相当友好。 早餐:早餐可以有四个地方选。 瀑布餐厅是传统自助，景色拍照无敌，但人较多，9点去要排队，就没进去。 顶楼旋转餐厅也是自助，人也不少，第一天没排队，第三天排了一会儿队，东西嘛，该有的都有了，就中规中矩吧，特别好吃的没有。 桃园馆是最精致的，一人一份，一个点心四小拼，一碗粥配油条，一份肠粉，一个蛋挞配水果，茶咖啡牛奶，据说不够可以加，但其实这点量我甚至吃不下！ 健身房:健身房干净，器材新、全，为了可以在广州多吃点，每天都去报到1-2次 位置交通:周围挺热闹的，好吃的不少，广州酒家，利苑都是步行可达。 酒店超级大，餐厅就有四五个，还有自己的博物馆，有一个很大的后花园，酒店够老牌，有一说一，这样不计成本的排场，现在应该是很难再有了。 值得一住的酒店，有机会会再来的', '绝对超预期的感受。 首先一进门，就有白衣男生主动帮忙拿行李送至大堂。 接着粉衣女生开始为我们引导办理入住。 这次为我们办理入住的Tony很超级nice，因为有小朋友，帮我们其中一间大床房免费升级了套房。另外一件房也安排在了隔壁，最后也告知了酒店边上在修地铁，晚上睡觉会有噪音（啊，确实挺噪的?? 感觉是24小时在施工，就是中午和大半夜会消停点，如果是睡觉质量很浅的人要遭罪了） 酒店设施及清洁度都很高，唯一不足的是没有智能马桶（每天帮忙打扫的工作人员都超有礼貌，任何一位都会好好和我们打招呼，也会及时解决一些住宿问题） 4楼的露天泳池是最爱，那么热的天，非常适合带小朋友上午去释放能量（前台帮忙登记的眼镜男生也热心） 酒店的自助早餐相对其他而言，就很soso了，选择不多，纯属可以看看餐厅外的瀑布，不过室外花园真的很漂亮。 酒店位置出行地铁很方便，出门就是五号线淘金站，但是这个线路去一些景点无法直达，基本都是要换乘就是。 最后退宿的时候，大堂粉衣女生Rain做事也很效率，排队的人有些多，就主动一一询问需求及赠送了小礼品。 再次感谢酒店每位工作人员，此次入住体验超级棒，长辈小孩都很开心。', '非常有年代和历史沉淀感的一家酒店，我呢，怀着对参观历史建筑一份期望入住此酒店。但却是我入住所有五星酒店里面体验感比较差的，我说的是前台和餐厅的服务，并不包括客房等服务，还有硬件维护的也不错。总结体验如下，1、之前订的房间是18到21层，而且当天一再要求高楼层，但是晚上我夫人过来取卡的时候却给了个第7层低楼层，后通过携程的交涉很圆满的解决了，但是现场服务人员却轻描淡写的说可能交接的时候有误，这是你们老牌五星酒店不应该的啊，虽然后面送了宝格丽的洗护小包装；2、第二天吃早餐的时候由于人多，服务员让我夫人去排队。排就排呗，但排队的同时，有一个非洲的朋友过来以后在门口停留了会，和领班聊了会，竟然直接由领班带进去了，当时我们就提出质疑，领班尽然信誓旦旦的说他的朋友已经在里面了，这就是空口说白话，实际上最后这个非洲的朋友是单独一张桌子（大家懂得都懂）。后来领班又说他们是一个团队的，所以可以不用排队，我们直接回复他-就算是一个团队有朋友在里面也不能代排队代占座、除非你们是一个房间的才可以，现在都什么时代了，尽然还有这种事情发生[尴尬]3、自助早餐品种少、味道一般、性价比不高、而且问现场的面点（下面条混沌）师傅、这个蒸点是酒店包的还是外面采购的？面点师傅含糊其辞打太极说不知道要问厨师，晕，本来准备入住三天的，最后第三天（前面二天已经付款无法退）果断退房换了天河的酒店（扇子??）4、第三天早餐的时候也是排队，发现已经没有人押队了，秩序井井有条；5、客房服务不错，衣服洗的很干净（但价格比三亚丽思高30%，当天就干了1100洗衣）；6、硬件维护的不错，也很大气，可以看出当初设计的前卫和投入；希望花园酒店能够适当提升下服务水准，国人与外国人统一对待！如果没有上述1、2条，则酒店还是很完美的体验']"
0,706,0_花园酒店_瀑布_博物馆_酒廊,"['花园酒店', '瀑布', '博物馆', '酒廊', '荔湾', '行政 酒廊', '办理', '老牌', '舒适', '五星']","['超预期的好评，也感叹40年用心经营的本土酒店品牌也可以很棒。因为过年带父母和孩子一起到广州旅行，去之前几乎在携程上把所有千元左右的广州五星酒店做了研究，重点看了差评，起初还有些担心，因为有评论说酒店设施老旧、服务不够周到等等，所以我订了2晚花园，同时订了1晚价格比花园略高的国际连锁君悦，负责任地说，花园完胜，第一次在携程上给住过的酒店写评价，所谓国货之光，花园值得拥有。一是40年的历史文化积淀，让花园在广州五星酒店里成为综合性价比翘楚。地处老城区越秀，其实去哪里都很方便，特别适合带孩子老人来。酒店占地广，气派，还拥有独立的花园，4楼开辟出了酒店博物馆，彰显白金酒店的荣誉和情怀。老人和孩子一定特别喜欢。二是有人情味的服务。服务员非常多，引导车辆的、殷勤开门的门童、热情存取行李的礼宾、随时关注你拍照、问询需求的大堂引导都不必说，而且，那么大的酒店、那么多楼层，竟然每层都有个人随时提供服务，餐厅和酒店各处中英切换的外籍服务员也很多，连后花园的池子里都没有飘落的落叶，因为有三个身着花园工装服的工作人员一直在打扫……看得出来，每个工作人员都认真负责，我女儿说：“花园酒店里的锦鲤都很热情，一点不怕人，脚步声到哪里，锦鲤就跟到哪里。”是的，我女儿还第一次摸了锦鲤头。三是贴心的服务，努力让顾客获得最佳体验的初心不是随便说说，是做到了！因为订了两个大床房，所以我希望能挨在一起，同时希望安排安静的房间。真的，都满足了的。而且，入住时因为跟引导沟通有误，现场的客人太多了，导致2点办理入住时并没有马上排到房间。我抱怨了一句，听说我下午3点30约了景点导游，前台马上送了我一个下午茶，我就带着父母孩子去水吧喝咖啡、吃水果、吃蛋糕，点心和服务都很棒，当天晚上入住的时候还送来了一份欢迎水果，酒店的用心和细心可见一斑。因为酒店入住客人多，每个楼层都放了早餐就餐指引，还有工作人员现场解说，告诉我们可以到不同的三个餐厅用餐避免拥堵。四是当然也有不足，但瑕不掩瑜，如果5分满分，我仍然愿意给到4.9分。40年的房子，我住的大床房并不大（跟后面住的君悦比，但君悦真的只能是房间大点，其他软硬件差远了），房间尽力维护了，隔音是很好的，但里面有些设计是鸡肋，比如大床房的浴缸，放在梳妆台前，挡道且容易溅水到床上，拥挤；厕所和淋雨室共用一道移动门，很尴尬；有些角落还是没有打扫干净，比如放胶囊咖啡的盘子。荔湾亭价格和品质不符合，服务虽好，但没有主动告知住店客人可以打折。促使我写这条长长评论的原因是，网上刷流量的一些评价，让我行前顾虑重重，保底订了一晚君悦（携程评分比花园高），两家都住了以后，我还是觉得，作为一个中国人，应该有基本的“中国人不骗中国人”的自觉，以及国货自信，花园几乎有三分之一的客人是外国人，而6号我在君悦早餐时，差不多上座5分之四的餐厅，一眼看去外国人只有2个，所以，国际友人比我们会用脚投票，而我们太容易被刷来的流量绑架，如果下次再来广州，我一定再选花园酒店，白金品质，用心经营。（欢迎大家去看我对君悦的对比评价，真的，我必须对刷流量说不，因为广州君悦，我不会选任何一家君悦，因为徒有其名，所谓国际连锁，更像个旅馆）。', '在广州居住很多年，17年离开后每年也一定会回来小住一段时间，期间住过很多酒店，包括久负盛名的四季、丽思卡尔顿、白天鹅等等，这次花园酒店给我的感受是最棒的，酒店建成虽然年代久了，但是各种细节一点也不马虎，房间灯光的设计恰到好处，不亮也不暗；家具布置使用方便舒适；早餐的每个餐桌都有鲜花；每一个喷泉都干净清洁且保持流水状态；恰逢周一，我还碰到了酒店博物馆闭馆日在按惯例清洁水池，以上所有这些细节都看的出酒店的管理和运作非常良好。酒店四楼的博物馆完全超出了我的想象，开始以为会是一个简单的展示，但其实非常专业，很值得一看。餐厅出品也非常棒，在荔湾亭吃了两顿饭，出品很不错，服务人员会主动告诉我怎么点餐最划算；泳池水干净清澈，配备的救生人员也足够数量，各个角度都能覆盖；酒店大堂富丽堂皇又有底蕴；瀑布和花园的亭台楼阁完美的体现着岭南的风貌。给我办理入住的吴经理，看到我定了前后日期相连的两个订单，一个是普通的花园房，一个是粤韵房，主动帮我把前两天的房间也给升级成了粤韵房，避免我要更换房间的麻烦；入住第二天咨询前台人员，准备购买酒店早餐，前台的Ann小姐特别Nice,见我就是一个人带个五岁小朋友，直接免了早餐，更把后面两天要来会合的孩子爸爸早餐也给送了；离开前一天下午到酒店行政酒廊看看风景喝点东西，行政酒廊的每一位小姐姐都非常亲切周到，主动提供各种信息和服务，其中一位Kitty小姐姐贴心热情的邀请我们第二天一早来酒廊用早餐。入住期间提出的所有要求都及时响应，每天都会送上水果和小食，房间打扫及时卫生，遇到的每一位服务人员都热情耐心，感谢酒店所有人美声甜的小姐姐们和友善贴心的帅哥们，以及所有一丝不苟对品质有所坚持的管理者们，为你们的用心送上大大的赞，也希望能够保留这样的底蕴到地久天长。以后来广州不会再更换酒店了，一定是花园酒店！', '在广州居住很多年，17年离开后每年也一定会回来小住一段时间，期间住过很多酒店，包括久负盛名的四季、丽思卡尔顿、白天鹅等等，这次花园酒店给我的感受是最棒的，酒店建成虽然年代久了，但是各种细节一点也不马虎，房间灯光的设计恰到好处，家具布置的使用舒适度，看的出来设计的用心。酒店四楼的博物馆非常有底蕴，完全超出了我的想象，开始以为会是一个简单的展示，但其实非常专业，很值得一看。酒店的餐厅出品也非常棒，在荔湾亭吃了两顿饭，味道非常不错，服务人员也极热情。泳池水干净清澈，配备的救生人员也足够数量，各个角度都能覆盖。酒店大堂富丽堂皇又有底蕴，瀑布和花园的亭台楼阁完美的体现着岭南的风貌。给我办理入住的吴经理，看到我定了前后日期相连的两个订单，一个是普通的花园房，一个是粤韵房，主动帮我把前两天的房间也给升级成了粤韵房，避免我要更换房间的麻烦；入住第二天咨询前台人员，准备购买酒店早餐，前台的Ann小姐特别Nice，见我就是一个人带个五岁小朋友，直接免了早餐，更把后面两天要来会合的孩子爸爸早餐也给送了；离开前一天下午到酒店行政酒廊看看风景，喝点东西，行政酒廊的每一位小姐姐都非常亲切周到，主动提供各种信息和服务，其中一位Kitty小姐姐热情的邀请我们第二天一早也来酒廊用早餐，欣赏顶楼的风景。入住期间提出的所有要求都及时响应，每天都会贴心的送上水果和小食，房间打扫及时卫生，遇到的每一位服务人员都热情耐心，感谢酒店所有人美声甜的小姐姐们和友善贴心的帅哥们，以及所有为酒店的完善和标准服务一丝不苟的管理者们，为你们的用心和品质送上大大的赞，也希望能够保留这样的底蕴到地久天长。以后来广州不会再更换酒店了，一定是花园酒店！']"
1,145,1_瀑布_花园酒店_瀑布 餐厅_博物馆,"['瀑布', '花园酒店', '瀑布 餐厅', '博物馆', '后花园', '泳池', '超级', '整洁', '充电', '套房']","['自带瀑布花园的宝藏酒店，大堂布满鲜花，巨幅红楼梦贴金壁画金碧辉煌，气派华贵；旋转楼梯相当出片，后花园小桥流水，岩石飞瀑，体验感爆棚。', '真是宝藏酒店啊，本身就是个度假地，很气派精致优雅老钱风，有历史有文化有品位，瀑布餐厅，岭南花园，各种餐厅，小黄鸭是超大套房，还有一座宝藏的博物馆。服务水平高，总之就是让客人觉得舒适又体面。', '不愧叫花园酒店，随处可见的花花，令人心旷神怡～外面看着很大气，一进去给人富丽堂皇的感觉，房间干净整洁、设施都不错。酒店内部花园有瀑布有池塘，孩子很喜欢。酒店博物馆有时间的话值得一看。很感叹于一个开业这么久的酒店能维护得这么好，酒店管理的水平相当高??']"
2,68,2_卫生 干净_舒适_有点_卫生间,"['卫生 干净', '舒适', '有点', '卫生间', '房型', '交通', '干净 环境', '服务 服务', '整洁', '唯一']","['设施：先说床品，非常非常赞，保障了优质的睡眠。房间设施略老旧，出现短路跳闸的故障。 卫生：卫生不错。 环境：环境没得说，交通也方便。 服务：前台服务很专业，超预期。部分员工对于酒店位置设施不太熟悉，无法提供有用的指引。此次出行恰逢女伴生日，遗憾酒店未提供任何小惊喜。', '服务：大堂的巴基斯坦帅哥工作很认真，沟通非常好。 卫生：干净整洁 环境：旁边工地打桩到10点左右会停工。感觉吵闹可以去对面世贸，友谊转转，吃点东西，再回来。 设施：还行吧，浴盆的位置有点怪。卫生间和卧室通透，会有点气味传过来。先到外边的房间等10分钟再去卧室就没有气味。', '设施：大堂跟气派，工作人员很友好 卫生：卫生很干净 环境：酒店大堂环境很好，外面施工比较吵 服务：服务好，态度好 唯一不好的就是客房太小，设计很旧，感觉像三星级，跟外面大堂不匹配']"
3,59,3_浴缸_房卡_然后_晚上,"['浴缸', '房卡', '然后', '晚上', '办理', '等待', '信息', '再次', '沟通', '打电话']","['作为一家老牌白金五星级酒店，酒店环境依然是酒店门面。 设施：刚到房间就遇到打不开门，又要跑下楼找前台，前台服务人员非常积极应对，并及时找工作人员上楼查看，原来门把手要反使用习惯先向上提一下再往下按才打得开门，可之后进出又不用先向上提了。房间内的设施就真的让人大跌眼镜！首先图一可以看到洗手间和淋浴间是共用一扇门，但这扇门无论是在马桶那边还是在淋浴这边，门居然都是倾斜的！根本无法完全关闭，留着一条粗壮的门缝。其次浴缸的花洒托架也是松动的，从图二可见底托已经完全脱离了墙壁，感觉随时都会脱落下来。由此可见酒店平时就疏于对房间设施的有效维护。 卫生：图三是卫生间的墙角，坐在马桶上就能看到这厚厚的污渍，就这么看也有一年半载的量了吧。 服务：本来是想给三颗星的，原因晚上十一点半临时要开车出去，结果到大堂前厅办理停车票的时候居然发现整个前厅都没有工作人员！又要走进去大堂找前台服务人员帮忙，还要前台服务人员打电话给前厅的服务人员叫人过来，打完电话还要登了几分钟才有人来。最后给半颗星原因退房寄存行李后和家人朋友外出吃饭聊天直到下午四点多才回酒店拿行李并办理停车出场。结果在办理停车的时候这个叫 ROY 的服务人员一脸嫌弃的说我们不能办理停车，有人办理了。当时我们都莫名其妙一下子也都不明白啥意思。接着这个叫 ROY 的服务人员说一间房不能办理两台车，我们就更不懂了，明明我们才来办理怎么就不能办理呢？何况我们真的开了两台车过来。经过一番争论后原来是有其他人挂在我们房间下。而这位叫 ROY. 的服务人员也并没有表达歉意，并且由始至终都是一副厌烦的态度在对待我们。果真白金五星级酒店的待客之道就是有独特的见解。 相比2024年5月入住的时候整体水平可以用天差地别来形容。', '开了三间房，两间出问题。 第一间：1.1房卡日期设置错误，无法开房门，下去前台，问我们是否续住的，最后前台解释说日期设置错，是上位前台开卡失误。 1.2入住登记时，已提出要求把三间作关联，因为前台为了快速处理入住，没有告知房卡分别用了谁的信息登记，导致重新开卡时的误会，第一次增加了与前台沟通成本，因为原接待的前台走开了。 第二间：2.1门锁措施残旧未更换。刷卡进房，门锁显示灯为绿色，但扭动无效，喊了在隔壁的房务员，几次也开不了。 2.2服务响应速度慢。通过楼层电话直拨客服中心，如上反应情况，因为1.2中不知道房卡登记谁的信息，对方也不直接说我信息错误，来回间第二次增加了沟通成本，核对好信息，对方表示让礼宾的同事上来，耐心等待了十来分钟，再次拨打电话，对方表示已看到礼宾员上来找我们，再次耐心等待，才等来礼宾员。 2.3升级房间失误。礼宾员试过门后，主动提出升级房间，并为我们换房卡并带我们去新的房间，我们再再次耐心等待，结果新的房间是双人房，原来房间是大床。礼宾员电话叫房务员拿卡开隔壁房，然后我们再再再次耐心等待，房间没错了。 2.4突**况无备注。礼宾下去换卡给我们，我们婉言拒绝，因为原定外出的时间已耽误很久了，只能晚上我们自己去前台拿卡，让帮忙开好卡就行。晚上回来报了新房号给前台，前台一脸懵，但他并没有表明问题所在，又是一次次无效沟通，他也不停地点击鼠标，我们再再再再次耐心等待，最后我把入住到之前的说了，并主动说了三位入住信息，他才说“难怪和登记的不一样”，第三次增加沟通成本。然而新的房间根本没有为我们预留，也没有任何注明，好在没开出去，不然都不用睡了。 2.5基础专业失误。开好房卡后，前台主动提出带我们到房间，以防其他情况发生。结果房卡刷不开门，显示灯是红色。我们再再再再再次耐心等待前台重新开卡。 最后要赞一下的。唯一一间没有任何问题的，是我爸妈入住的，对大堂工作人员很满意，主动服务意识非常强，房间也很宽敞舒适，对第三次入住花园酒店，仍然是非常满意。真的很谢谢，再再再再再再次感谢', '开了三间房，两间出问题。 第一间： 1.1房卡日期设置错误，无法开房门，下去前台，问我们是否续住的，最后前台解释说日期设置错，是上位前台开卡失误。 1.2入住登记时，已提出要求把三间作关联，因为前台为了快速处理入住，没有告知房卡分别用了谁的信息登记，导致重新开卡时的误会，第一次增加了与前台沟通成本，因为原接待的前台走开了。 第二间： 2.1门锁措施残旧未更换。刷卡进房，门锁显示灯为绿色，但扭动无效，喊了在隔壁的房务员，几次也开不了。 2.2服务响应速度慢。通过楼层电话直拨客服中心，如上反应情况，因为1.2中不知道房卡登记谁的信息，对方也不直接说我信息错误，来回间第二次增加了沟通成本，核对好信息，对方表示让礼宾的同事上来，耐心等待了十来分钟，再次拨打电话，对方表示已看到礼宾员上来找我们，再次耐心等待，才等来礼宾员。 2.3升级房间失误。礼宾员试过门后，主动提出升级房间，并为我们换房卡并带我们去新的房间，我们再再次耐心等待，结果新的房间是双人房，原来房间是大床。礼宾员电话叫房务员拿卡开隔壁房，然后我们再再再次耐心等待，房间没错了。 2.4突**况无备注。礼宾下去换卡给我们，我们婉言拒绝，因为原定外出的时间已耽误很久了，只能晚上我们自己去前台拿卡，让帮忙开好卡就行。晚上回来报了新房号给前台，前台一脸懵，但他并没有表明问题所在，又是一次次无效沟通，他也不停地点击鼠标，我们再再再再次耐心等待，最后我把入住到之前的说了，并主动说了三位入住信息，他才说“难怪和登记的不一样”，第三次增加沟通成本。然而新的房间根本没有为我们预留，也没有任何注明，好在没开出去，不然都不用睡了。 2.5基础专业失误。开好房卡后，前台主动提出带我们到房间，以防其他情况发生。结果房卡刷不开门，显示灯是红色。我们再再再再再次耐心等待前台重新开卡。 最后要赞一下的。唯一一间没有任何问题的，是我爸妈入住的，对大堂工作人员很满意，主动服务意识非常强，房间也很宽敞舒适，对第三次入住花园酒店，仍然是非常满意。真的很谢谢，再再再再再再次感谢']"
4,58,4_viria_kamille_前台 viria_舒适,"['viria', 'kamille', '前台 viria', '舒适', '帮忙', '舒服', 'winnie', '价格', '小姐姐 服务', '尤其']","['每位酒店的工作人员都非常的热情，特别是rain让人感觉很舒服，环境也很赞，最主要的是干净卫生，这个价格入住这个酒店真的是超值，下次有机会一定会再来，停车方便，入住很快，房间也比较舒适，价格不贵，环境也不错，房间干净，入住首选，满意！', '每位酒店的工作人员都非常的热情，让人感觉很舒服，环境也很赞，最主要的是干净卫生，这个价格入住这个酒店真的是超值，下次有机会一定会再来，停车方便，入住很快，房间也比较舒适，价格不贵，环境也不错，房间干净，入住首选，满意！特别感谢LiVen服务不错??', '每位酒店的工作人员都非常的热情，让人感觉很舒服，环境也很赞，最主要的是干净卫生，这个价格入住这个酒店真的是超值，下次有机会一定会再来，停车方便，入住很快，房间也比较舒适，价格不贵，环境也不错，房间干净，入住首选，满意！特别感谢迎宾李文。前台Viria']"
5,51,5_春节_过年_期间_活动,"['春节', '过年', '期间', '活动', '春节 期间', '气氛', '氛围', '舞狮', '过年 期间', '热闹']","['一如既往的好，尤其是春节期间，特别热闹又有年味。服务比多家五星级酒店更好，出街期间除了大堂有各种活动和集市以外，每一层都有一位工作人员帮忙按电梯，在过年期间，服务做到这个程度非常难得！', '岭南文化主题的酒店。 第二次在过年期间入住了，氛围感满满。春节期间酒店还有各种规定，大人小孩都玩得很开心…', '很棒的一次入住体验 设施：一应俱全 环境：春节期间入住，整个布置的氛围感的非常好，有春节特色。还有舞龙舞狮表演。 服务：很贴心']"
6,45,6_地铁站_出行 方便_出来_地铁,"['地铁站', '出行 方便', '出来', '地铁', '地理位置', '出来 就是', '交通', '地铁口', '出门', '附近']","['环境不错，服务态度也好，带小朋友出来旅游的，出门就是地铁口，出行方便周围也有很多好吃的。就是门口在修路，打车老是开错入口', '交通方便，地铁出来就是酒店，外观非常气派，大堂布置很特别，吸引打卡。房间卫生干净，岭南特色设计，服务员都热情打招呼，有礼貌，特别是楼层服务员张小燕送了甜点，味道很好。胡主管能详细介绍酒店餐厅和其他设施，给我的入住带来惊喜和方便，性价比高，下次还来！', '非常满意的入住体验，酒店的地理位置非常好，交通也很便利，出门就是地铁站，酒店的大堂非常气派，环境很好，见我带着老人和孩子，还升级了房间，房间干净舒适，服务贴心细致，设施一应俱全。非常推荐！']"
7,44,7_丰富_品种_餐厅 早餐_舒服,"['丰富', '品种', '餐厅 早餐', '舒服', '早餐 品种', '味道', '旋转', '瀑布', '服务 早餐', '旋转 餐厅']","['大堂、餐厅、花园等公共区域环境很好。房间有点儿小，有咖啡机很不错，茶难喝，打扫的非常及时。 服务员及其多，都阳光靓丽，保持微笑服务。 购买的套餐是带行政礼遇、应该安排18-21层的房间。提醒过前台服务员后才看到，可能太忙了吧。 餐食挺好，早餐丰富，行政礼遇的下午茶阳光明媚、欢乐时光餐食比较丰富。', '房间干净，住客生病还给免费延时退房，人性化服务，赞！酒店的环境也非常优美。餐厅的早餐中西餐厅都可以任选。早餐品种非常丰富，味道好。', '酒店很高大上，入住正是圣诞节，一棵大大的圣诞树??装饰的很华丽。酒店的早餐环境非常有特色，大大的玻璃窗可以看到室外的瀑布，在这里就餐心情愉悦，早餐品种丰富多样，口味也不错??，连住两晚，第二天体验了三十层旋转餐厅的早餐，相比较而言更喜欢一口的环境。只可惜原本的下午茶??，2点退房后不可以享用，白白的浪费掉了，不然，正好吃完下午茶赶往机场都有时间，要是办理入住时提醒一下就好了，算是小小的遗憾吧。']"
8,43,8_服务 贴心_特别 服务_外国_老牌,"['服务 贴心', '特别 服务', '外国', '老牌', '虽然', '很漂亮', '一次 体验', '满意 一次', '不愧', '周到']","['酒店环境舒适，令人心情愉悦。管理注重服务质量，员工服务贴心周到。', '体验特别好，服务很细心，很愉快的入住 酒店环境特别好，服务非常细心周到，早餐，下午茶，傍晚微醺时光都是特别惊喜的服务，还有点心送到房间服务', '房间宽敞明亮，服务贴心周到，停车方便，交通便利，早餐丰盛，环境优雅。 特别感谢酒店工作人员Gillian为我们优质的服务。']"
