qid,version,type,query,expected_intents,rewritten_queries,weights,num_rewritten_queries,format_ok,format_error,matched_intents,matched_intent_count,expected_intent_count,intent_coverage,latency_seconds,error,raw_result_json
1,before,多意图,这家酒店适合带孩子住吗？交通和早餐怎么样？,亲子;交通;早餐,酒店是否提供儿童友好设施？ ||| 酒店周边交通是否便利，是否有地铁或公交直达？,0.6;0.4,2,True,,亲子;交通,2,3,0.6667,0.9679,,"[{""query"": ""酒店是否提供儿童友好设施？"", ""weight"": 0.6}, {""query"": ""酒店周边交通是否便利，是否有地铁或公交直达？"", ""weight"": 0.4}]"
1,after,多意图,这家酒店适合带孩子住吗？交通和早餐怎么样？,亲子;交通;早餐,广州花园酒店是否适合带孩子入住？ ||| 广州花园酒店的交通便利性如何？ ||| 广州花园酒店的早餐质量和服务怎么样？,0.4;0.4;0.2,3,True,,亲子;交通;早餐,3,3,1.0,1.2891,,"[{""query"": ""广州花园酒店是否适合带孩子入住？"", ""weight"": 0.4}, {""query"": ""广州花园酒店的交通便利性如何？"", ""weight"": 0.4}, {""query"": ""广州花园酒店的早餐质量和服务怎么样？"", ""weight"": 0.2}]"
2,before,约束+时效,最近花园大床房隔音怎么样？晚上会不会吵？,花园大床房;隔音;最近;噪音,花园大床房的隔音效果如何，晚上是否有明显噪音干扰？ ||| 花园大床房在夜间是否容易受到外部或隔壁房间噪音影响？,0.8;0.2,2,True,,花园大床房;隔音;噪音,3,4,0.75,1.0296,,"[{""query"": ""花园大床房的隔音效果如何，晚上是否有明显噪音干扰？"", ""weight"": 0.8}, {""query"": ""花园大床房在夜间是否容易受到外部或隔壁房间噪音影响？"", ""weight"": 0.2}]"
2,after,约束+时效,最近花园大床房隔音怎么样？晚上会不会吵？,花园大床房;隔音;最近;噪音,最近花园大床房隔音效果如何？晚上是否吵闹？,1.0,1,True,,花园大床房;隔音;最近;噪音,4,4,1.0,1.1358,,"[{""query"": ""最近花园大床房隔音效果如何？晚上是否吵闹？"", ""weight"": 1.0}]"
3,before,比较型,套房和普通房间差别大吗？值不值得升级？,套房;普通房;差异;升级;性价比,套房相比普通房间在面积和布局上有哪些具体差异？ ||| 套房的额外设施（如独立客厅、浴缸、厨房区等）是否值得升级费用？,0.6;0.4,2,True,,套房;普通房;差异;升级;性价比,5,5,1.0,1.3944,,"[{""query"": ""套房相比普通房间在面积和布局上有哪些具体差异？"", ""weight"": 0.6}, {""query"": ""套房的额外设施（如独立客厅、浴缸、厨房区等）是否值得升级费用？"", ""weight"": 0.4}]"
3,after,比较型,套房和普通房间差别大吗？值不值得升级？,套房;普通房;差异;升级;性价比,广州花园酒店套房和普通房间在空间、设施和入住体验上有什么差异？ ||| 广州花园酒店套房相比普通房间是否值得升级？用户评价中提到的性价比如何？,0.8;0.2,2,True,,套房;普通房;差异;升级;性价比,5,5,1.0,1.0984,,"[{""query"": ""广州花园酒店套房和普通房间在空间、设施和入住体验上有什么差异？"", ""weight"": 0.8}, {""query"": ""广州花园酒店套房相比普通房间是否值得升级？用户评价中提到的性价比如何？"", ""weight"": 0.2}]"
4,before,场景型,商务出差住这里方便吗？办公和交通条件怎么样？,商务;办公;交通,酒店距离商务区和主要办公地点有多远？交通是否便利？ ||| 酒店是否提供适合商务出差的办公设施（如会议室、高速网络、打印服务）？,0.6;0.4,2,True,,商务;办公;交通,3,3,1.0,1.3059,,"[{""query"": ""酒店距离商务区和主要办公地点有多远？交通是否便利？"", ""weight"": 0.6}, {""query"": ""酒店是否提供适合商务出差的办公设施（如会议室、高速网络、打印服务）？"", ""weight"": 0.4}]"
4,after,场景型,商务出差住这里方便吗？办公和交通条件怎么样？,商务;办公;交通,广州花园酒店商务出差住在这里交通便利吗？ ||| 广州花园酒店为商务人士提供的办公设施条件如何？,0.6;0.4,2,True,,商务;办公;交通,3,3,1.0,0.7833,,"[{""query"": ""广州花园酒店商务出差住在这里交通便利吗？"", ""weight"": 0.6}, {""query"": ""广州花园酒店为商务人士提供的办公设施条件如何？"", ""weight"": 0.4}]"
5,before,人群场景,带老人入住会不会不方便？房间和服务怎么样？,老人;房间;服务;便利性,酒店是否适合老人入住？有哪些无障碍设施或便利服务？ ||| 酒店房间的舒适度和布局是否适合老年人？是否有大床、扶手等适老设计？,0.6;0.4,2,True,,老人;房间;服务,3,4,0.75,1.2334,,"[{""query"": ""酒店是否适合老人入住？有哪些无障碍设施或便利服务？"", ""weight"": 0.6}, {""query"": ""酒店房间的舒适度和布局是否适合老年人？是否有大床、扶手等适老设计？"", ""weight"": 0.4}]"
5,after,人群场景,带老人入住会不会不方便？房间和服务怎么样？,老人;房间;服务;便利性,带老人入住花园酒店是否方便？有哪些不便之处？ ||| 花园酒店的房间设施和服务对老年人友好吗？,0.6;0.4,2,True,,老人;房间;服务,3,4,0.75,0.997,,"[{""query"": ""带老人入住花园酒店是否方便？有哪些不便之处？"", ""weight"": 0.6}, {""query"": ""花园酒店的房间设施和服务对老年人友好吗？"", ""weight"": 0.4}]"
