cluster,rank,_id,score,quality_score,room_type,comment
0,1,68027d41e3c98b0941765b0b,5.0,9,花园大床房,酒店有文化沉淀，有独到设计，有中西交融，有优质服务，将花园特色融入每个角落，漂亮大气。值得一提的是服务人员都热情、礼貌、细心，前台靓女Gillian还在房间紧张的情况下，帮我解决了续住问题，非常感谢！
0,2,680278c1e3c98b094176572e,5.0,8,花园双床房,这次的花园酒店很是满意??酒店硬件无可挑剔，大堂，客房都很有设计感，交通更是方便，出门就是地铁站，对我们绿色出行非常便捷[强]前台小姐姐还给我们升级了套房，她家的自助餐更是无话可说[强][玫瑰]
0,3,68027a4de3c98b0941765885,5.0,7,花园大床房,房间安排非常舒适，卫生整理及时。酒店后花园让人感到温暖、温馨??；早餐丰富、服务生态度绝对到位。值得推荐！
0,4,68028542e3c98b0941766085,5.0,7,花园双床房,房间非常好，设施设备齐全，服务热情周到，酒店的餐饮也非常好。花园酒店有一个博物馆，介绍了酒店的发展历程，非常值得看看。
0,5,68027d95e3c98b0941765b49,5.0,5,花园双床房,"名副其实的花园酒店，瀑布餐厅，庭院都很有特色哦

卫生：干净
服务：很好

设施：很好"
0,6,680279f2e3c98b0941765833,5.0,7,花园大床房,酒店高大上，房间干净整洁优雅，服务一流。花园设计漂亮心怡，有红色小桥，有大瀑布，还有不同种的鱼游来游去，非常满意的一次住宿。
0,7,68027f36e3c98b0941765cb0,5.0,6,花园双床房,花园景色优美，服务优良，不愧是老牌五星级酒店～ 很多外国人，也是一景～ 酒店的性价比不错，还包括了两个早餐～
0,8,68027d03e3c98b0941765ad6,5.0,8,花园双床房,房间挺好的，环境不错，服务也好，酒店大气，有花园，花园里有许多锦鲤鱼，还有人造瀑布，循环水溪，花园溜达也很惬意。不愧为花园酒店。值得推荐。
1,1,68027a4de3c98b0941765882,5.0,8,花园大床房,服务非常好，酒店环境也很好，尤其是自带一个花园，有曲径通幽的感觉，瀑布花园、30层的旋转餐厅环境都不错。整体装修啥的会稍微有一点老，毕竟是早批的五星酒店。
1,2,6802792ae3c98b0941765789,5.0,7,花园双床房,酒店服务很好！餐厅特别棒！早餐非常好！花园和博物馆也可以看看。门口就可以直接坐出租车，非常便捷。因为楼设计合理，电梯也不拥挤。体验很好。唯一就是房间小。房间太小。
1,3,680280d2e3c98b0941765e17,4.2,7,城央绿意大床房,位置比较好，服务也可以，周边有很多好吃的，就是酒店时间比较久，房间有点旧人也多，晚上11点了办理入住感觉都还要排队
1,4,68027b78e3c98b0941765982,5.0,7,花园双床房,酒店环境非常棒，去各个景点都很方便，房间也干净，服务贴心，因为办理了续住，酒店还送了早餐，非常满意的一次体验
1,5,68027a2be3c98b0941765869,5.0,5,红棉大床套房,环境不错的酒店。住得很舒服。房间高空还有景色看。服务也是不错的。早餐好吃的。吃完在花园散散步惬意的。
1,6,68027936e3c98b0941765794,5.0,8,花园双床房,房间干净卫生，服务员态度很好，涉外酒店，入住客人多，早餐需要排队，但是用餐环境很好，顶楼还有旋转餐厅，可以边吃边欣赏城市景色，早饭品种很多，味道很棒！还有一个大花园，有瀑布，有金鱼，逛逛，大饱眼福。唯一不足房间有点小。
1,7,680279e8e3c98b094176582b,5.0,7,花园双床房,房间干净，环境很好，服务态度满意，早餐品种丰富，午茶好喝又休闲，晚餐虽然品种少了点，但高端上挡次，不愧为花园一样的酒店。
1,8,68027a5ee3c98b0941765894,4.8,8,红棉大床套房,酒店位置很方便，服务也很好，各种设施很全，二楼和三楼的餐厅也很不错，酒店有不少外国人，还有后面的瀑布和园子造景也相当不错，各方面都符合老牌酒店的水准，住的是套房，酒店通风要是再好些的话就更完美了
2,1,68028542e3c98b09417660af,5.0,7,花园双床房,酒店环境很好，外籍客人多，大堂装饰大气，工作人员服务不错，尤其是前台小姐姐ANN，贴心周到，十分满意的入住体验
2,2,68027ac3e3c98b09417658eb,5.0,6,花园大床房,酒店非常不错，好评，干净卫生，下次还会住这里，酒店服务人员态度也很热情，尤其是前台 非常周到，服务态度很好！！！！。
2,3,68027a80e3c98b09417658b0,5.0,7,花园双床房,"体验特别好，服务很细心，很愉快的入住
酒店环境特别好，服务非常细心周到，早餐，下午茶，傍晚微醺时光都是特别惊喜的服务，还有点心送到房间服务"
2,4,68028542e3c98b094176617a,5.0,5,城央绿意双床房,"房间干净整洁。
服务：特别满意，有需求都能及时得到回应，服务特别好！酒店服务很用心！"
2,5,68028542e3c98b09417661b7,5.0,6,红棉双床套房,房间很大很干净，前台接待很热情，早餐也很丰盛，酒店就像一个景点一样，非常棒。小朋友也很开心，玩的开心，吃的也很开心，下次还来入住。
2,6,68027e42e3c98b0941765bdf,5.0,7,花园双床房,房间很干净宽敞，前台yolo小姐姐服务细致周到，还特别贴心的给升了套房，下次旅游还住花园酒店
2,7,680279b5e3c98b0941765802,4.8,7,花园双床房,本来有小意外不太愉快，但前台服务态度好给升房了。套房宽敞舒适洁净，设施保养得很好，酒店早餐夜茶水准也高，整体满意。
2,8,68027ee3e3c98b0941765c6f,5.0,7,花园大床房,入住时前台的人员服务很好，风景很好，设施设备也不错，床品挺舒适的，房间服务员也很用心，还准备了甜点和问候的卡片，总体感觉很不错。
3,1,680282eae3c98b0941765fde,4.5,9,城央绿意大床房,"设施：广州老牌酒店，设施维护的不错，一进大门就能感受到花园酒店的厚重感。房价咖啡机等配备齐全，备品很香，不错。但对于花园酒店来说，早餐的品类少，不太符合酒店的定位。
卫生：卫生做的干净，没有可挑剔的。
环境：环境自然不用说，酒店后花园很舒服，坐在酒廊看外面喷泉瀑布，很是惬意。

服务：重点说说服务吧，留下印象最深的是前台宾客服务的Tony，得知我第一次来，详细地介绍了酒店各项服务，房间进行了升级，很热情。酒廊的服务也很不错，主动热情。
但瀑布餐厅的服务相比之下就差很多，7点报房号进入，没人带位，前台不主动。"
3,2,680282c8e3c98b0941765fbe,5.0,9,花园双床房,年后出行，到店已经傍晚了，老牌酒店，大堂还是很气派的。门口的服务生看到客人很有服务意识。到了前台，Billy查询到我们定的房间还不能入住，给我们升级了套房还送了早餐。床垫很舒服，卫生间也很大。当天入住生日，酒店还送了蛋糕，住了2天后又续房了。酒店的早餐环境很棒，可以看到花园的瀑布，餐食就比较普通，我觉得到了广州真的没必要在酒店吃，酒店的桃园馆用餐环境也是一级棒，很有广东的特色，很中式，菜品么真的是不及它的环境，不过服务还是很棒的。所以还是很推荐入住这家酒店，服务非常好，除了餐饮不推荐。
3,3,6802789fe3c98b0941765713,5.0,9,花园大床房,"旅游入住了广州花园酒店，体验感超棒！一进大堂，挑高设计搭配华丽吊灯，瞬间被震撼。前台办理入住迅速，员工热情贴心，还详细介绍酒店设施。退房时Tina小姐姐十分迅速帮忙快速退房，一点没耽误行程。

房间布置典雅，床品舒适，窗外景色也不错。迷你吧饮品丰富，洗浴用品品质高。

酒店餐饮绝绝子，桃园馆的早茶，虾饺、肠粉新鲜又美味。自助餐厅海鲜新鲜，甜品精致。

健身房器材新且全，泳池水质清澈。位置也很优越，周边交通便利，商场、景点近。下次来广州，肯定还选这儿！"
3,4,68027f73e3c98b0941765ce2,5.0,9,城央绿意双床房,广州花园酒店不愧是老牌高档酒店之一，拉满仪式感的入口门廊，气派的大堂，第一印象非常好。办理入住时赶上酒店举办活动，等的时间有点长，和客服沟通后，工作人员迅速调整工作，很快解决问题。体验了一下露天泳池，下午五点太阳不晒，水温很适合，早餐一层的瀑布餐厅和二层的酒吧式餐厅各有特色。入住两天，感觉酒店的工作人员非常和善有礼，留下美好回忆。
