primary_cluster,primary_category,secondary_rank,secondary_cluster,secondary_category,count,ratio_in_primary
0,花园特色、文化底蕴与空间体验,1,1,餐饮早餐、景观与基础住宿体验,182,0.52
0,花园特色、文化底蕴与空间体验,1,2,前台服务、舒适住宿与升级好评,74,0.2114
0,花园特色、文化底蕴与空间体验,1,3,老牌五星综合长评体验,61,0.1743
0,花园特色、文化底蕴与空间体验,1,4,问题反馈与负面复杂体验,33,0.0943
0,花园特色、文化底蕴与空间体验,2,1,餐饮早餐、景观与基础住宿体验,121,0.3457
0,花园特色、文化底蕴与空间体验,2,2,前台服务、舒适住宿与升级好评,93,0.2657
0,花园特色、文化底蕴与空间体验,2,3,老牌五星综合长评体验,80,0.2286
0,花园特色、文化底蕴与空间体验,2,4,问题反馈与负面复杂体验,56,0.16
1,餐饮早餐、景观与基础住宿体验,1,0,花园特色、文化底蕴与空间体验,174,0.3308
1,餐饮早餐、景观与基础住宿体验,1,2,前台服务、舒适住宿与升级好评,202,0.384
1,餐饮早餐、景观与基础住宿体验,1,3,老牌五星综合长评体验,25,0.0475
1,餐饮早餐、景观与基础住宿体验,1,4,问题反馈与负面复杂体验,125,0.2376
1,餐饮早餐、景观与基础住宿体验,2,0,花园特色、文化底蕴与空间体验,168,0.3194
1,餐饮早餐、景观与基础住宿体验,2,2,前台服务、舒适住宿与升级好评,155,0.2947
1,餐饮早餐、景观与基础住宿体验,2,3,老牌五星综合长评体验,35,0.0665
1,餐饮早餐、景观与基础住宿体验,2,4,问题反馈与负面复杂体验,168,0.3194
2,前台服务、舒适住宿与升级好评,1,0,花园特色、文化底蕴与空间体验,53,0.1328
2,前台服务、舒适住宿与升级好评,1,1,餐饮早餐、景观与基础住宿体验,241,0.604
2,前台服务、舒适住宿与升级好评,1,3,老牌五星综合长评体验,8,0.0201
2,前台服务、舒适住宿与升级好评,1,4,问题反馈与负面复杂体验,97,0.2431
2,前台服务、舒适住宿与升级好评,2,0,花园特色、文化底蕴与空间体验,125,0.3133
2,前台服务、舒适住宿与升级好评,2,1,餐饮早餐、景观与基础住宿体验,129,0.3233
2,前台服务、舒适住宿与升级好评,2,3,老牌五星综合长评体验,8,0.0201
2,前台服务、舒适住宿与升级好评,2,4,问题反馈与负面复杂体验,137,0.3434
3,老牌五星综合长评体验,1,0,花园特色、文化底蕴与空间体验,361,0.6139
3,老牌五星综合长评体验,1,1,餐饮早餐、景观与基础住宿体验,136,0.2313
3,老牌五星综合长评体验,1,2,前台服务、舒适住宿与升级好评,20,0.034
3,老牌五星综合长评体验,1,4,问题反馈与负面复杂体验,71,0.1207
3,老牌五星综合长评体验,2,0,花园特色、文化底蕴与空间体验,96,0.1633
3,老牌五星综合长评体验,2,1,餐饮早餐、景观与基础住宿体验,279,0.4745
3,老牌五星综合长评体验,2,2,前台服务、舒适住宿与升级好评,46,0.0782
3,老牌五星综合长评体验,2,4,问题反馈与负面复杂体验,167,0.284
4,问题反馈与负面复杂体验,1,0,花园特色、文化底蕴与空间体验,35,0.1136
4,问题反馈与负面复杂体验,1,1,餐饮早餐、景观与基础住宿体验,144,0.4675
4,问题反馈与负面复杂体验,1,2,前台服务、舒适住宿与升级好评,100,0.3247
4,问题反馈与负面复杂体验,1,3,老牌五星综合长评体验,29,0.0942
4,问题反馈与负面复杂体验,2,0,花园特色、文化底蕴与空间体验,55,0.1786
4,问题反馈与负面复杂体验,2,1,餐饮早餐、景观与基础住宿体验,122,0.3961
4,问题反馈与负面复杂体验,2,2,前台服务、舒适住宿与升级好评,103,0.3344
4,问题反馈与负面复杂体验,2,3,老牌五星综合长评体验,28,0.0909
